race_id,place_ui,race_no,max_ev,race_label_ui
202605230801,京都,1,-0.9993532162361768,京都1R
202605230802,京都,2,-0.9909772126654172,京都2R
202605230803,京都,3,-0.9990514073601324,京都3R
202605230804,京都,4,-0.9986862155382638,京都4R
202605230805,京都,5,-0.995761402657364,京都5R
202605230806,京都,6,-0.999231140055514,京都6R
202605230807,京都,7,-0.9991564263173274,京都7R
202605230808,京都,8,-0.9974590901757002,京都8R
202605230809,京都,9,-0.9904239448687948,京都9R
202605230810,京都,10,-0.999941351038282,京都10R
202605230811,京都,11,-0.999685503999869,京都11R
202605230812,京都,12,-0.9999220480465056,京都12R
202605230401,新潟,1,-0.9858766141572212,新潟1R
202605230402,新潟,2,-0.994358467633082,新潟2R
202605230403,新潟,3,-0.9920494043906573,新潟3R
202605230404,新潟,4,-0.9833983365801806,新潟4R
202605230405,新潟,5,-0.9997296424882004,新潟5R
202605230406,新潟,6,-0.9994447922701656,新潟6R
202605230407,新潟,7,-0.9990100412575574,新潟7R
202605230408,新潟,8,-0.9943079259629716,新潟8R
202605230409,新潟,9,-0.999392621542819,新潟9R
202605230410,新潟,10,-0.999930574223012,新潟10R
202605230411,新潟,11,-0.9999381968812728,新潟11R
202605230412,新潟,12,-0.9999308074344672,新潟12R
202605230501,東京,1,-0.9939008266443567,東京1R
202605230502,東京,2,-0.9925561553460726,東京2R
202605230503,東京,3,-0.9932148800095064,東京3R
202605230504,東京,4,-0.9984593453443013,東京4R
202605230505,東京,5,-0.9993729642829275,東京5R
202605230506,東京,6,-0.997350614667516,東京6R
202605230507,東京,7,-0.9960323564272404,東京7R
202605230508,東京,8,-0.9982818211120174,東京8R
202605230509,東京,9,-0.9848932869467242,東京9R
202605230510,東京,10,-0.9996144316024383,東京10R
202605230511,東京,11,-0.9995179031900296,東京11R
202605230512,東京,12,-0.9996114207657348,東京12R
